type,legacy_id,title,existing_url,published,modified,proposed_topic,action,traffic,backlinks,review
post,2025,Life is a perfectly designed and coded Game,https://www.valonasani.com/life-is-a-perfectly-designed-and-coded-game/,2022-10-26T12:33:32,2024-01-31T19:58:34,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,2021,🏆 𝐖𝐡𝐚𝐭 𝐜𝐚𝐧 𝐰𝐞 𝐥𝐞𝐚𝐫𝐧 𝐟𝐫𝐨𝐦 the 𝐖𝐨𝐫𝐥𝐝 𝐂𝐡𝐚𝐦𝐩𝐢𝐨𝐧 Shaban Tërstena?,https://www.valonasani.com/learn-from-worldchampion-saban-trstena/,2022-10-20T23:25:16,2022-10-31T01:26:42,life-between-cultures,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,2007,How do you fill your calendar?,https://www.valonasani.com/how-do-you-fill-your-calendar/,2022-10-07T06:57:56,2022-10-31T01:27:29,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,2003,Average & mediocre are the enemies of GREAT!,https://www.valonasani.com/average-mediocre-are-the-enemies-of-great/,2022-09-25T19:05:37,2022-10-31T01:28:03,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1956,"Heart, Soul or Mind?",https://www.valonasani.com/heart-soul-or-mind/,2022-09-04T18:27:19,2022-09-04T18:27:19,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1951,How to Build a Successful Product?,https://www.valonasani.com/how-to-build-a-successful-product/,2022-09-04T09:44:50,2022-10-31T01:29:41,business-technology,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Review dated company figures
post,1944,Get your shit together – that’s all.,https://www.valonasani.com/get-your-shit-together-thats-all/,2022-09-03T16:34:15,2022-10-31T01:30:44,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1938,The most entertaining outcome is the the most likely one,https://www.valonasani.com/the-most-entertaining-outcome-is-the-the-most-likely-one/,2022-08-30T14:41:10,2022-08-30T14:41:11,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1919,It’s (not) about you,https://www.valonasani.com/its-not-about-you/,2022-08-29T21:05:19,2022-08-30T14:44:53,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1916,Don’t go all-in with someone who isn’t all in with you,https://www.valonasani.com/dont-go-all-in-with-someone-who-isnt-all-in-with-you/,2022-07-06T23:23:23,2022-07-06T23:23:24,relationships,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1912,Listen to Michael Saylor & Lex Fridman about Bitcoin & Inflation,https://www.valonasani.com/listen-to-michael-saylor-lex-fridman-about-bitcoin-inflation/,2022-05-23T22:35:02,2022-05-23T22:36:03,business-technology,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Review financial claims
post,1907,Realize that you create your life,https://www.valonasani.com/realize-that-you-create-your-life/,2022-05-17T12:23:18,2022-05-17T12:23:49,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1898,Dream relationship: Creator & deep Connection,https://www.valonasani.com/dream-relationship-creator-deep-connection/,2022-05-17T11:56:45,2024-01-16T13:44:05,relationships,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1866,If you really really want it,https://www.valonasani.com/if-you-really-really-want-it/,2022-02-07T19:34:54,2022-02-07T19:34:54,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1863,Truth and (Self)-Love Challenge,https://www.valonasani.com/truth-and-self-love-challenge/,2022-02-06T17:49:14,2022-02-06T17:49:14,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1859,The 7 Principles of the Universe,https://www.valonasani.com/the-7-principles-of-the-universe/,2022-01-12T18:39:01,2022-01-12T18:39:26,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1857,Why You Are Here,https://www.valonasani.com/why-you-are-here/,2022-01-07T11:43:18,2022-01-07T11:43:19,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1850,Gratefulness leads to great people – or vice versa,https://www.valonasani.com/gratefulness/,2021-12-25T13:00:48,2021-12-25T13:02:11,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1753,33 Principles for my 33rd.,https://www.valonasani.com/33-principles-for-my-33rd/,2021-11-01T20:46:23,2021-11-02T12:59:19,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1738,Be ready to be tested by life,https://www.valonasani.com/be-ready-to-be-tested-by-life/,2021-10-02T10:38:00,2021-10-02T12:14:29,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1722,What others think doesn’t matter,https://www.valonasani.com/what-others-think-doesnt-matter/,2021-09-30T15:51:47,2021-09-30T15:51:48,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1706,You have the freedom to change your attitude at any time,https://www.valonasani.com/you-have-the-freedom-to-change-at-any-time/,2021-09-24T13:36:37,2021-09-24T13:36:49,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1694,Use Gamification to get through Life-Challenges,https://www.valonasani.com/gamification-of-your-life/,2021-09-18T20:17:06,2024-01-31T20:04:21,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1692,Love is the goal to aspire,https://www.valonasani.com/love-is-the-goal-to-aspire/,2021-09-16T22:52:52,2021-09-16T22:52:52,relationships,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1584,Don’t,https://www.valonasani.com/dont/,2021-09-12T21:01:29,2021-09-12T21:01:30,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1580,Just in case you needed to be reminded,https://www.valonasani.com/just-in-case-you-needed-to-be-reminded/,2021-09-12T20:51:51,2021-09-12T21:00:08,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1498,Lemon Detox – updated,https://www.valonasani.com/lemon-detox/,2021-09-11T19:24:25,2021-09-18T21:23:24,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Review factual health claims
post,1408,What I saw when I could see clear,https://www.valonasani.com/what-i-saw-when-i-could-see-clear/,2021-09-01T22:58:02,2024-01-16T14:02:17,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1389,What chapter are you writing today?,https://www.valonasani.com/what-chapter-are-you-writing-today/,2021-09-01T21:54:57,2021-09-01T21:54:58,life-between-cultures,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1330,Try me!,https://www.valonasani.com/try-me/,2021-08-30T19:29:46,2021-08-30T19:44:40,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1311,You must be the master of your own kingdom,https://www.valonasani.com/you-must-be-the-master-of-your-own-kingdom/,2021-08-29T10:15:19,2021-08-29T11:20:46,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1303,The point when it’s just the same,https://www.valonasani.com/the-point-when-its-just-the-same/,2021-08-28T22:30:35,2024-01-31T20:06:43,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1301,Clean up and focus,https://www.valonasani.com/clean-up-and-focus/,2021-08-28T18:42:14,2021-08-28T18:42:14,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1291,A way to find yourself,https://www.valonasani.com/a-way-to-find-yourself/,2021-08-27T11:57:43,2021-09-12T21:05:46,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1279,How would you have lived your life differently if you had a chance,https://www.valonasani.com/how-would-you-have-lived-your-life-differently-if-you-had-a-chance/,2021-08-26T22:13:30,2021-08-26T22:37:57,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1274,Social Interactions – because Wellbeing is no solo venture,https://www.valonasani.com/benefits-of-social-interaction-at-work/,2021-08-26T12:00:49,2021-08-26T13:14:07,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1271,The goal is not,https://www.valonasani.com/the-goal-is-not/,2021-08-26T10:14:55,2021-08-26T10:16:35,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1232,My biggest challenge: Sleep,https://www.valonasani.com/my-biggest-challenge-sleep/,2021-08-25T20:21:20,2021-08-25T22:51:28,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Review factual health claims
post,1222,"Don’t take yourself too seriously, that’s why:",https://www.valonasani.com/dont-take-yourself-too-seriously-thats-why/,2021-08-25T15:40:09,2021-08-25T15:40:28,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1212,It never ends,https://www.valonasani.com/it-never-ends/,2021-08-25T12:10:15,2021-08-25T12:11:51,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1199,Three steps to exceptional results,https://www.valonasani.com/three-steps-to-exceptional-results-2/,2021-08-25T10:39:29,2021-08-25T11:14:41,business-technology,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1193,Go from smartphone to stupid phone and you become smart,https://www.valonasani.com/go-from-smartphone-to-stupid-phone-and-you-become-smart/,2021-08-25T10:13:25,2021-09-12T20:30:17,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1191,The universe is amazing,https://www.valonasani.com/the-universe-is-amazing/,2021-08-25T10:01:24,2021-08-25T11:15:17,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1022,Health – Detox product I recommend to anyone,https://www.valonasani.com/health-detox-product-i-recommend-to-anyone/,2021-08-24T22:44:16,2021-08-24T22:44:16,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Review factual health claims
post,1017,The Earthing Movie,https://www.valonasani.com/the-earthing-movie/,2021-08-24T22:35:06,2021-08-24T22:36:31,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Review factual health claims
post,1002,I challenge you to be an Athlete!,https://www.valonasani.com/i-challenge-you-to-be-an-athlete/,2021-08-24T22:02:18,2021-08-24T22:05:51,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Review factual health claims
post,974,Everything is connected.,https://www.valonasani.com/everything-is-connected/,2021-08-24T21:42:36,2021-08-24T21:51:54,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,968,Connecting the dots,https://www.valonasani.com/connecting-the-dots/,2021-08-24T21:20:53,2021-08-25T15:27:12,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,966,It’s about building community before building a product,https://www.valonasani.com/its-about-building-community-before-building-a-product/,2021-08-24T21:19:43,2021-08-24T21:52:17,business-technology,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Review dated company figures
post,957,How I use Email,https://www.valonasani.com/how-i-use-email/,2021-08-24T21:13:27,2021-08-24T21:54:46,business-technology,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,954,How to help Xhepa in 5min,https://www.valonasani.com/how-to-help-xhepa-in-5min/,2021-08-24T20:53:07,2021-08-24T21:54:44,life-between-cultures,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,942,Simplify your life,https://www.valonasani.com/simplify-your-life/,2021-08-24T20:14:39,2021-08-24T21:54:37,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,936,When you find your love,https://www.valonasani.com/when-you-find-your-love/,2021-08-24T19:50:54,2024-01-16T14:07:14,relationships,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,930,Words I didn’t remember,https://www.valonasani.com/words-i-didnt-remember/,2021-08-24T19:36:38,2021-08-24T21:54:32,relationships,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1517,Three ways to find your dream job,https://www.valonasani.com/three-ways-to-find-your-dream-job/,2021-08-23T19:25:00,2021-09-12T19:26:15,business-technology,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1524,Yes and No,https://www.valonasani.com/yes-and-no/,2021-08-19T19:32:00,2021-09-12T19:33:33,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1527,Startups can’t escape reality,https://www.valonasani.com/you-cant-escape-reality/,2021-08-16T19:35:00,2021-09-12T20:32:24,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1529,You vs. them,https://www.valonasani.com/you-vs-them/,2021-08-14T19:37:00,2021-09-12T20:39:55,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1533,Path to become You,https://www.valonasani.com/path-to-become-it/,2021-08-10T19:40:00,2021-09-12T19:58:38,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1537,Easy Level Up,https://www.valonasani.com/easy-level-up/,2021-08-06T19:42:00,2021-09-12T19:43:22,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1558,Believe,https://www.valonasani.com/believe/,2021-08-02T20:01:00,2021-09-12T20:01:25,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1586,Why are we so disciplined with our bad habits?,https://www.valonasani.com/why-are-we-so-disciplined-with-our-bad-habits/,2021-07-30T21:01:00,2021-09-12T21:04:01,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1566,Lessons from the Alchemist,https://www.valonasani.com/lessons-from-the-alchemist/,2021-07-18T20:30:00,2021-09-12T20:43:01,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1591,Focus to work with Long-Term people,https://www.valonasani.com/focus-to-work-with-long-term-people/,2021-07-07T21:06:00,2021-09-12T21:07:24,business-technology,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1593,Consistency is the key to success in life,https://www.valonasani.com/consistency-is-the-key-to-success-in-life/,2021-07-01T21:08:00,2021-09-12T21:09:14,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,970,How to be free?,https://www.valonasani.com/how-to-be-free/,2021-05-31T21:22:39,2021-08-24T21:54:30,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,1960,My 6 golden rules to become a more successful entrepreneur,https://www.valonasani.com/my-6-golden-rules-to-become-a-more-successful-entrepreneur/,2016-04-16T22:44:00,2022-09-05T22:45:41,business-technology,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Review financial claims
page,2159,Relationship Expert,https://www.valonasani.com/relationship-expert/,2023-02-23T22:34:57,2023-02-23T22:42:05,,Preserve existing page,Search Console baseline pending,Backlink baseline pending,Review legacy links and dated claims
page,1970,Books,https://www.valonasani.com/books/,2022-09-06T11:34:06,2022-09-06T11:34:06,,Preserve existing page,Search Console baseline pending,Backlink baseline pending,Review legacy links and dated claims
page,1345,Media,https://www.valonasani.com/media/,2021-08-30T21:35:17,2023-02-23T21:48:52,,Preserve URL; review core page replacement,Search Console baseline pending,Backlink baseline pending,Review legacy links and dated claims
page,1268,Privacy Policy,https://www.valonasani.com/privacy-policy/,2021-08-26T09:17:59,2021-08-26T09:19:54,,Preserve URL; review core page replacement,Search Console baseline pending,Backlink baseline pending,Review legacy links and dated claims
page,912,No coffee time,https://www.valonasani.com/no-coffee-time/,2021-08-12T10:31:44,2021-08-12T10:54:16,,Preserve existing page,Search Console baseline pending,Backlink baseline pending,Review legacy links and dated claims
page,717,Blog,https://www.valonasani.com/blog/,2021-04-28T15:06:24,2022-10-31T01:10:46,,Preserve existing page,Search Console baseline pending,Backlink baseline pending,Review legacy links and dated claims
page,193,Valon Asani,https://www.valonasani.com/nolav/,2013-02-01T15:58:03,2022-09-06T11:35:46,,Preserve existing page,Search Console baseline pending,Backlink baseline pending,Review legacy links and dated claims
page,68,About me,https://www.valonasani.com/about/,2013-01-31T15:37:32,2024-01-31T20:01:33,,Preserve URL; review core page replacement,Search Console baseline pending,Backlink baseline pending,Review legacy links and dated claims
page,7,Contact,https://www.valonasani.com/contact/,2013-01-30T16:54:33,2021-04-28T22:29:32,,Preserve URL; review core page replacement,Search Console baseline pending,Backlink baseline pending,Review legacy links and dated claims
